rotation_deg,origin_index,origin_fraction,buffer_multiplier,buffer_m,n_blocks,n_effective_blocks,n_predictions,n_test_intervals,n_test_holes,equal_block_mean_delta,median_block_delta,sign_concordance,leave_one_block_out_min,leave_one_block_out_max,block_resample_ci_lower_95,block_resample_ci_upper_95,block_resampling_replicates,inference_label
45.0,5,0.4,1.0,111.8912024,5,5,3542,3542,100,-0.06305377536514575,-0.04201886424071488,0.8,-0.08595849715015036,-0.03504234926715155,-0.13040281677482635,-0.004994370439073359,10000,descriptive dependent-partition sensitivity; not a precise five-block confidence interval
45.0,5,0.4,1.5,167.8368036,5,5,3542,3542,100,-0.06568186171811936,-0.04381927922485929,0.8,-0.08712412426516875,-0.03741486087528145,-0.12477763074362631,-0.00843030601525232,10000,descriptive dependent-partition sensitivity; not a precise five-block confidence interval
90.0,1,-0.4,0.5,55.9456012,5,5,3542,3542,100,-0.05178475594902641,-0.050648263677463,0.8,-0.068701775849412,-0.03746562134443704,-0.08569608209141552,-0.014726495178845011,10000,descriptive dependent-partition sensitivity; not a precise five-block confidence interval
90.0,1,-0.4,1.0,111.8912024,5,5,3542,3542,100,-0.053276409975662097,-0.050724486632823584,0.8,-0.0711257643337258,-0.039278887344083635,-0.0904623143412063,-0.014029809566065098,10000,descriptive dependent-partition sensitivity; not a precise five-block confidence interval
90.0,1,-0.4,1.5,167.8368036,5,5,3542,3542,100,-0.05546459442253626,-0.05223303617804298,0.8,-0.07406898054701727,-0.03892616108616631,-0.09386421113202684,-0.015619667354736234,10000,descriptive dependent-partition sensitivity; not a precise five-block confidence interval
90.0,2,-0.2,0.5,55.9456012,5,5,3542,3542,100,-0.05286422396582702,-0.050354312898292175,0.8,-0.06655553171593515,-0.03679016320680034,-0.09003774959386317,-0.02114619904782824,10000,descriptive dependent-partition sensitivity; not a precise five-block confidence interval
90.0,2,-0.2,1.0,111.8912024,5,5,3542,3542,100,-0.055252701254955294,-0.04914403800990885,0.8,-0.06955685084947605,-0.036773925507316285,-0.09715829775127034,-0.02065392327920117,10000,descriptive dependent-partition sensitivity; not a precise five-block confidence interval
90.0,2,-0.2,1.5,167.8368036,5,5,3542,3542,100,-0.05537204393031283,-0.049855654081575995,0.8,-0.06941346844099805,-0.03734160272042114,-0.09643854689455815,-0.02112202048348104,10000,descriptive dependent-partition sensitivity; not a precise five-block confidence interval
90.0,3,0.0,0.5,55.9456012,5,5,3542,3542,100,-0.03961710258985911,-0.035926521971112235,0.6,-0.05590456197374055,-0.01566082141866254,-0.09171523609462814,0.01169870187360691,10000,descriptive dependent-partition sensitivity; not a precise five-block confidence interval
90.0,3,0.0,1.0,111.8912024,5,5,3542,3542,100,-0.03964848429276757,-0.035926521971112235,0.6,-0.0550244548584789,-0.014658729395858106,-0.09267726104472285,0.01028185297233164,10000,descriptive dependent-partition sensitivity; not a precise five-block confidence interval
90.0,3,0.0,1.5,167.8368036,5,5,3542,3542,100,-0.04775257814056753,-0.035926521971112235,0.8,-0.06257845203548834,-0.024196163029139905,-0.0995575519402117,-0.00497804084091924,10000,descriptive dependent-partition sensitivity; not a precise five-block confidence interval
90.0,4,0.2,0.5,55.9456012,5,5,3542,3542,100,-0.05005142429521059,-0.04159005801148297,0.8,-0.07273334912530105,-0.02208797800270118,-0.11377914888374212,0.006303961515301381,10000,descriptive dependent-partition sensitivity; not a precise five-block confidence interval
90.0,4,0.2,1.0,111.8912024,5,5,3542,3542,100,-0.05214302094825061,-0.04159005801148297,0.6,-0.07536437958240677,-0.02033255580663207,-0.12110222533359591,0.008639895252618856,10000,descriptive dependent-partition sensitivity; not a precise five-block confidence interval
90.0,4,0.2,1.5,167.8368036,5,5,3542,3542,100,-0.051411879473634056,-0.039782564310431257,0.6,-0.07319556743369732,-0.019628677814547912,-0.12201781552886307,0.008980452035910913,10000,descriptive dependent-partition sensitivity; not a precise five-block confidence interval
90.0,5,0.4,0.5,55.9456012,5,5,3542,3542,100,-0.05913212897405851,-0.036684756946749,0.8,-0.07942017617403413,-0.03257102839504272,-0.11928245863461476,-0.009355463297007826,10000,descriptive dependent-partition sensitivity; not a precise five-block confidence interval
90.0,5,0.4,1.0,111.8912024,5,5,3542,3542,100,-0.06012080027486175,-0.0398522060129638,0.8,-0.08024609569565067,-0.032513580314745105,-0.12135171816469743,-0.008630056555288678,10000,descriptive dependent-partition sensitivity; not a precise five-block confidence interval
90.0,5,0.4,1.5,167.8368036,5,5,3542,3542,100,-0.058912564339116805,-0.03451865024693834,0.8,-0.07952992321972979,-0.031124046907956893,-0.12474686215189874,-0.008572759003643782,10000,descriptive dependent-partition sensitivity; not a precise five-block confidence interval
135.0,1,-0.4,0.5,55.9456012,5,5,3542,3542,100,-0.04786011426943704,-0.052997551383251684,0.8,-0.06464299707171017,-0.02815926270636232,-0.09178029558941217,-0.004219333112577317,10000,descriptive dependent-partition sensitivity; not a precise five-block confidence interval
135.0,1,-0.4,1.0,111.8912024,5,5,3542,3542,100,-0.05445057231916741,-0.05181563733959815,0.8,-0.07418322580762116,-0.03091964065666375,-0.10421853253010668,-0.004580568403552343,10000,descriptive dependent-partition sensitivity; not a precise five-block confidence interval
135.0,1,-0.4,1.5,167.8368036,5,5,3542,3542,100,-0.054799499776443605,-0.0523152523914443,0.8,-0.07384934562786766,-0.03126657176483538,-0.10427364410864244,-0.008086170779026158,10000,descriptive dependent-partition sensitivity; not a precise five-block confidence interval
135.0,2,-0.2,0.5,55.9456012,5,5,3542,3542,100,-0.05072602900407382,-0.027781503622680725,0.8,-0.06692853641874774,-0.022337724542756066,-0.10996047166445497,-0.0017646111723286229,10000,descriptive dependent-partition sensitivity; not a precise five-block confidence interval
135.0,2,-0.2,1.0,111.8912024,5,5,3542,3542,100,-0.050694200505946176,-0.026528483381911716,0.6,-0.06802090765923402,-0.01722952401499961,-0.11973003636972716,0.0031800944710404623,10000,descriptive dependent-partition sensitivity; not a precise five-block confidence interval
135.0,2,-0.2,1.5,167.8368036,5,5,3542,3542,100,-0.05527562803455255,-0.026938559981369847,0.6,-0.07543293026110837,-0.01621324997833884,-0.13769050814819236,0.00623626202032086,10000,descriptive dependent-partition sensitivity; not a precise five-block confidence interval
135.0,3,0.0,0.5,55.9456012,5,5,3542,3542,100,-0.048371446463700216,-0.028854499879049644,0.6,-0.06533216112970425,-0.020073991988729056,-0.10885898910853409,0.005285538654736133,10000,descriptive dependent-partition sensitivity; not a precise five-block confidence interval
135.0,3,0.0,1.0,111.8912024,5,5,3542,3542,100,-0.05025712513350378,-0.028854499879049644,0.6,-0.06777899898067469,-0.018150956653294914,-0.1188418296596315,0.007927017886665944,10000,descriptive dependent-partition sensitivity; not a precise five-block confidence interval
135.0,3,0.0,1.5,167.8368036,5,5,3542,3542,100,-0.049249072170717945,-0.028854499879049644,0.6,-0.06782370523104819,-0.016890890449812623,-0.11919404056436304,0.0105596892178613,10000,descriptive dependent-partition sensitivity; not a precise five-block confidence interval
135.0,4,0.2,0.5,55.9456012,5,5,3542,3542,100,-0.05792925374408538,-0.03380849762784699,0.8,-0.07462582016700564,-0.030392334797519738,-0.12016972842017429,-0.006873966010701338,10000,descriptive dependent-partition sensitivity; not a precise five-block confidence interval
135.0,4,0.2,1.0,111.8912024,5,5,3542,3542,100,-0.05833665047261758,-0.0375250765998445,0.8,-0.07466333585481455,-0.030769464196654106,-0.11966781159447133,-0.007370203778578199,10000,descriptive dependent-partition sensitivity; not a precise five-block confidence interval
135.0,4,0.2,1.5,167.8368036,5,5,3542,3542,100,-0.0581589434777217,-0.036323531813938104,0.8,-0.07496679120740629,-0.028830527083699153,-0.12000399873060505,-0.005794291398088536,10000,descriptive dependent-partition sensitivity; not a precise five-block confidence interval
135.0,5,0.4,0.5,55.9456012,5,5,3542,3542,100,-0.048695605861063876,-0.055668396183770286,0.8,-0.06164053168238992,-0.03978941730525143,-0.07672502856603666,-0.01946421563775096,10000,descriptive dependent-partition sensitivity; not a precise five-block confidence interval
135.0,5,0.4,1.0,111.8912024,5,5,3542,3542,100,-0.04801595493314146,-0.05477963351446391,0.8,-0.06050672113836453,-0.039807469147214,-0.07508868422945732,-0.020111204659778094,10000,descriptive dependent-partition sensitivity; not a precise five-block confidence interval
135.0,5,0.4,1.5,167.8368036,5,5,3542,3542,100,-0.04454041474309904,-0.05000129360329475,0.8,-0.059083542731370675,-0.03580523311689415,-0.07343309898260827,-0.01319108888886138,10000,descriptive dependent-partition sensitivity; not a precise five-block confidence interval
